sale_price,meta_class,meta_town_code,meta_nbhd,meta_certified_est_bldg,meta_certified_est_land,meta_cdu,meta_deed_type,char_hd_sf,char_age,char_apts,char_ext_wall,char_roof_cnst,char_rooms,char_beds,char_bsmt,char_bsmt_fin,char_heat,char_oheat,char_air,char_frpl,char_attic_type,char_fbath,char_hbath,char_tp_plan,char_tp_dsgn,char_cnst_qlty,char_site,char_gar1_size,char_gar1_cnst,char_gar1_att,char_gar1_area,char_ot_impr,char_bldg_sf,char_repair_cnd,char_use,char_type_resd,char_attic_fnsh,char_renovation,char_porch,geo_property_city,geo_property_zip,geo_tract_pop,geo_white_perc,geo_black_perc,geo_asian_perc,geo_his_perc,geo_other_perc,geo_fips,geo_municipality,geo_ohare_noise,geo_floodplain,geo_fs_flood_factor,geo_fs_flood_risk_direction,geo_withinmr100,geo_withinmr101300,geo_school_elem_district,geo_school_hs_district,econ_tax_rate,econ_midincome,ind_large_home,ind_garage,ind_arms_length
170000,203,31,31110,147140,34910,NA,T,6982,65,NA,2,1,5,3,2,3,1,5,2,1,1,1,1,NA,NA,2,2,3,2,2,2,0,1104,2,1,1,3,NA,NA,WESTCHESTER,60154,4492,0.39804096170970615,0.311219946571683,0.01602849510240427,0.2591273374888691,0.02938557435440783,80047,Westchester,0,0,5,1,0,0,SCHOOL DISTRICT 92 1/2,PROVISO TOWNSHIP HIGH SCHOOL 209,8.685,70790,FALSE,TRUE,TRUE
497500,278,38,38040,388360,37130,NA,W,7817,28,NA,3,1,8,4,1,3,1,5,1,1,3,2,1,2,NA,1,2,3,2,1,2,0,2652,2,1,2,NA,NA,NA,ARLINGTON HEIGHTS,60004,6430,0.8926905132192846,0.0104199066874028,0.05925349922239502,0.02939346811819595,0.01648522550544323,02154,Arlington Heights,0,0,1,0,0,0,SCHOOL DIST 23 PROSPECT HEIGHTS,ARLINGTON HTS TWNSHP H S 214,9.323,58212,FALSE,TRUE,TRUE
215000,203,39,39260,146570,61850,NA,W,14554,60,NA,2,1,5,3,2,3,1,2,2,1,3,2,0,1,NA,2,2,3,2,1,1,0,1417,2,1,1,NA,NA,1,PALOS HEIGHTS,60463,3765,0.8841965471447543,0.00770252324037184,0.03081009296148738,0.07729083665338646,0,57381,Palos Heights,0,0,1,0,0,0,SCHOOL DISTRICT  128,COMMUNITY HIGH SCHOOL  218,10.011,86944,FALSE,TRUE,TRUE
163000,202,72,72350,83900,52300,NA,W,6153,60,NA,1,1,3,2,2,3,1,5,2,0,3,1,0,NA,NA,2,2,1,1,2,2,0,720,2,1,1,NA,NA,NA,CHICAGO,60632,2020,0.2886138613861386,0,0.03910891089108911,0.6722772277227723,0,14000,Chicago,0,0,1,0,0,1,TWAIN,KENNEDY HS,6.448348513011153,47581,FALSE,TRUE,TRUE
461000,211,77,77020,187600,41660,NA,W,2976,106,2,2,2,12,6,1,2,1,5,2,0,3,3,0,2,2,2,2,3,1,2,2,0,2800,2,2,2,NA,NA,1,CHICAGO,60651,5899,0.07289371079844041,0.05848448889642312,0,0.8613324292252924,0.01457874215968808,14000,Chicago,0,0,1,0,0,0,CAMERON,ORR HS,6.786,40636,FALSE,TRUE,TRUE
271000,234,28,28015,233720,47500,NA,O,10000,20,NA,3,1,7,4,3,1,1,5,1,0,3,3,0,2,NA,2,2,3,2,1,2,0,1620,2,1,4,NA,NA,NA,ORLAND PARK,60467,8000,0.7105,0.098375,0.071125,0.11025,0.018,56640,Orland Park,0,0,1,0,0,0,SCHOOL DISTRICT  140,CONSOLIDATED HIGH SCHOOL  230,11.839,85932,FALSE,TRUE,TRUE
580000,203,17,17013,434160,93750,NA,W,7500,95,NA,1,1,6,2,1,3,2,5,2,0,1,2,1,2,2,2,2,4,1,2,2,0,1763,2,1,5,1,NA,1,EVANSTON,60201,3732,0.8279742765273312,0.02920685959271168,0.08440514469453377,0.03938906752411576,0.03804930332261522,24582,Evanston,0,0,1,0,0,0,SCHOOL DISTRICT C C  65,EVANSTON TOWNSHIP HIGH SCHOOL  202,10.048773913043478,134583,FALSE,TRUE,TRUE
560000,295,76,76011,304880,84230,NA,W,991,21,NA,2,2,6,2,2,3,1,5,1,0,3,2,1,2,2,2,2,1,2,1,1,0,1346,2,1,3,NA,NA,NA,CHICAGO,60605,3475,0.44805755395683455,0.30676258992805755,0.1965467625899281,0.01669064748201439,0.06129496402877698,14000,Chicago,0,0,4,0,0,0,SOUTH LOOP,PHILLIPS HS,6.832,77578,FALSE,TRUE,TRUE
223500,234,30,30010,162930,53590,NA,T,10208,52,NA,3,1,6,3,3,1,1,5,1,0,3,1,1,NA,NA,2,2,3,2,1,2,0,1050,2,1,4,NA,NA,NA,HICKORY HILLS,60457,4123,0.8452583070579675,0.00945913170021828,0.01528013582342954,0.12442396313364056,0.00557846228474411,34514,Hickory Hills,0,0,1,0,0,0,SCHOOL DISTRICT  117,CONSOLIDATED HIGH SCHOOL  230,12.833,99306,FALSE,TRUE,TRUE
215000,211,70,70030,153220,49060,NA,W,3925,93,3,2,2,14,6,1,1,2,5,2,0,3,3,0,2,2,2,2,3,1,2,2,0,3180,2,2,2,NA,NA,1,CHICAGO,60637,3036,0.00889328063241106,0.955862977602108,0,0.01482213438735177,0.02503293807641633,14000,Chicago,0,0,1,0,0,0,TILL,HIRSCH HS,6.786,18983,FALSE,TRUE,TRUE
